host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,room_type
100%,N/A,3,Washington,DC,20002,38.90919,-76.98518,4,1,3,4,$99.00 ,$0.00 ,$79.00 ,1,28,75,Entire home/apt
100%,N/A,1,Washington,DC,20005,38.90783,-77.03536,4,1,1,2,$154.00 ,$270.00 ,$64.00 ,1,365,100,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.93972,-77.03516,4,1,1,2,$98.00 ,$0.00 ,$60.00 ,2,1125,55,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91404,-77.01182,2,1,1,1,$80.00 ,$0.00 ,$40.00 ,3,60,80,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.95502,-77.01108,4,1,0,2,$70.00 ,,,2,1125,21,Entire home/apt
100%,N/A,4,Washington,DC,20002,38.89744,-76.98127,2,1,1,1,$52.00 ,$100.00 ,$19.00 ,2,1125,88,Private room
N/A,N/A,1,Washington,DC,20009,38.91949,-77.03089,4,2,2,2,$175.00 ,,$90.00 ,5,1125,3,Entire home/apt
100%,N/A,5,Washington,DC,20001,38.91096,-77.01967,2,1,1,1,$79.00 ,,$50.00 ,2,14,22,Private room
100%,N/A,2,Washington,DC,20010,38.93171,-77.03181,6,2,2,2,$191.00 ,$200.00 ,$89.00 ,2,1125,8,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.87966,-76.99489,2,1,0,1,$87.00 ,$300.00 ,$80.00 ,1,21,105,Entire home/apt
79%,N/A,44,Washington,DC,20010,38.93807,-77.02335,1,2,1,1,$39.00 ,,$20.00 ,3,250,2,Private room
N/A,N/A,1,Washington,DC,20002,38.89504,-76.98425,2,1,1,1,$105.00 ,$0.00 ,$50.00 ,3,6,5,Entire home/apt
100%,N/A,4,Washington,DC,20002,38.8981,-76.98141,2,1,1,1,$75.00 ,$100.00 ,$19.00 ,2,1125,79,Private room
100%,N/A,0,Washington,DC,20011,38.95739,-77.0361,2,1,1,1,$46.00 ,,$10.00 ,1,1125,7,Private room
100%,N/A,0,Washington,DC,20020,38.85969,-76.95685,2,1,1,1,$59.00 ,,,2,30,0,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92019,-77.03957,4,1,1,2,$131.00 ,,,1,30,170,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.91421,-77.03518,5,1,2,4,$179.00 ,$275.00 ,$49.00 ,2,60,56,Entire home/apt
100%,N/A,4,Washington,DC,20011,38.95307,-77.02092,8,1.5,3,5,$271.00 ,$0.00 ,$89.00 ,2,1125,58,Entire home/apt
100%,N/A,2,Washington,DC,20010,38.93373,-77.03134,2,1,1,1,$120.00 ,$0.00 ,$49.00 ,2,1125,3,Private room
100%,N/A,1,Washington,DC,20002,38.90317,-76.99531,4,1,1,1,$104.00 ,$150.00 ,$50.00 ,2,1125,41,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.90967,-77.05872,2,1,1,1,$120.00 ,$0.00 ,$75.00 ,7,90,38,Entire home/apt
100%,N/A,4,Washington,DC,20001,38.90808,-77.0121,12,1.5,3,9,$282.00 ,$350.00 ,$165.00 ,2,365,39,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.9465,-77.02594,2,1,1,1,$55.00 ,$0.00 ,$30.00 ,2,1125,24,Private room
100%,N/A,3,Washington,DC,20007,38.92166,-77.07628,3,1,1,1,$95.00 ,,$80.00 ,1,31,63,Private room
100%,N/A,1,Washington,DC,20008,38.93784,-77.06535,4,1,1,2,$150.00 ,$0.00 ,$75.00 ,2,28,42,Entire home/apt
100%,N/A,3,Washington,DC,20009,38.9133,-77.03793,4,1,2,2,$175.00 ,$0.00 ,$50.00 ,2,1125,36,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.92613,-77.02628,2,1,2,1,$60.00 ,$200.00 ,$40.00 ,2,7,12,Private room
100%,N/A,1,Washington,DC,20009,38.9218,-77.03499,2,1,1,1,$90.00 ,$500.00 ,$35.00 ,2,1125,26,Entire home/apt
100%,N/A,33,Washington,DC,20008,38.91317,-77.04638,4,1,1,2,$65.00 ,$150.00 ,$65.00 ,2,1122,59,Entire home/apt
96%,N/A,5,Washington,DC,20002,38.89756,-76.97756,4,1,1,1,$84.00 ,,$100.00 ,2,1125,61,Entire home/apt
97%,N/A,71,Washington,DC,20009,38.92009,-77.02955,6,2.5,3,3,$199.00 ,$500.00 ,$185.00 ,3,89,26,Entire home/apt
100%,N/A,6,Washington,DC,20002,38.89762,-76.98864,8,2,4,4,$177.00 ,$0.00 ,$180.00 ,2,1125,40,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.88,-76.99627,4,1,2,2,$129.00 ,$300.00 ,$100.00 ,1,10,83,Entire home/apt
N/A,N/A,1,Washington,DC,20019,38.87981,-76.9343,2,1,3,2,$35.00 ,,,1,1125,0,Private room
100%,N/A,1,Washington,DC,20019,38.90007,-76.9507,2,1,1,1,$35.00 ,,,3,15,50,Private room
100%,N/A,8,Washington,DC,20001,38.91014,-77.0213,2,1,1,0,$85.00 ,,$50.00 ,2,720,21,Private room
100%,N/A,2,Washington,DC,20020,38.87033,-76.98174,2,1,1,1,$82.00 ,$0.00 ,$0.00 ,2,7,37,Private room
100%,N/A,2,Washington,DC,20001,38.912,-77.0323,1,1,1,1,$60.00 ,$200.00 ,$40.00 ,2,7,29,Private room
N/A,N/A,1,Washington,DC,20002,38.89331,-76.98662,2,1,1,2,$119.00 ,$0.00 ,$75.00 ,2,365,55,Entire home/apt
100%,N/A,16,Washington,DC,20002,38.90522,-76.98631,1,1,1,1,$36.00 ,$100.00 ,$15.00 ,2,180,8,Shared room
N/A,N/A,1,Washington,DC,20002,38.92049,-77.00148,2,1.5,1,1,$50.00 ,,,1,7,2,Private room
N/A,N/A,2,Washington,DC,20001,38.90516,-77.01735,2,1,1,1,$75.00 ,$0.00 ,$10.00 ,1,3,34,Private room
N/A,N/A,1,Washington,DC,20020,38.85965,-76.99605,2,1,1,1,$40.00 ,,$5.00 ,1,1125,65,Private room
100%,N/A,2,Washington,DC,20003,38.88463,-76.99311,8,1.5,3,4,$165.00 ,$200.00 ,$110.00 ,2,1125,67,Entire home/apt
100%,N/A,3,Washington,DC,20018,38.92334,-76.97503,2,2,1,1,$43.00 ,$200.00 ,$50.00 ,14,365,6,Private room
100%,N/A,2,Washington,DC,20010,38.93582,-77.03327,2,1,1,1,$65.00 ,$250.00 ,$12.00 ,1,365,22,Private room
100%,N/A,1,Washington,DC,20001,38.91761,-77.01208,8,3,4,4,$289.00 ,$300.00 ,$125.00 ,3,1125,5,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.91623,-77.01993,8,1.5,3,4,$195.00 ,,$150.00 ,1,1125,65,Entire home/apt
100%,N/A,1,Washington,DC,20019,38.88575,-76.92893,6,1,2,2,$95.00 ,$0.00 ,$45.00 ,2,31,24,Entire home/apt
96%,N/A,5,Washington,DC,20002,38.89723,-76.97103,2,1,0,1,$63.00 ,,$65.00 ,2,1125,52,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.91311,-77.0136,1,1,1,1,$35.00 ,$250.00 ,$39.00 ,1,7,58,Private room
100%,N/A,1,Washington,DC,20002,38.91765,-77.00419,2,1,1,1,$46.00 ,$0.00 ,$20.00 ,2,1125,98,Private room
N/A,N/A,1,Washington,DC,20008,38.91186,-77.0493,2,1,0,1,$86.00 ,$0.00 ,$20.00 ,5,6,0,Entire home/apt
97%,N/A,1050,Washington,DC,20009,38.91615,-77.03109,2,1,1,1,$188.00 ,,$125.00 ,30,120,1,Entire home/apt
100%,N/A,16,Washington,DC,20002,38.90518,-76.98671,1,1,1,1,$36.00 ,$100.00 ,$15.00 ,2,180,5,Shared room
100%,N/A,16,Washington,DC,20002,38.90519,-76.98693,1,1,1,1,$36.00 ,$100.00 ,$15.00 ,2,180,7,Shared room
100%,N/A,1,Washington,DC,20001,38.90809,-77.01073,4,1,1,2,$120.00 ,$0.00 ,$79.00 ,2,1125,70,Entire home/apt
100%,N/A,16,Washington,DC,20002,38.90502,-76.98683,1,1,1,1,$36.00 ,$100.00 ,$15.00 ,2,180,8,Shared room
100%,N/A,33,Washington,DC,20009,38.91421,-77.03844,2,1,1,1,$65.00 ,$150.00 ,$65.00 ,2,1123,60,Entire home/apt
100%,N/A,16,Washington,DC,20002,38.90529,-76.98662,1,1,1,1,$36.00 ,$100.00 ,$15.00 ,2,180,8,Shared room
100%,N/A,33,Washington,DC,20009,38.91244,-77.03963,2,1,1,1,$75.00 ,$150.00 ,$65.00 ,2,1122,83,Entire home/apt
100%,N/A,2,Washington,DC,20032,38.82703,-77.01131,2,1,1,1,$48.00 ,$200.00 ,$125.00 ,5,1125,3,Private room
100%,N/A,8,Washington,DC,20001,38.90906,-77.01969,2,1,1,1,$100.00 ,,$50.00 ,2,365,55,Private room
100%,N/A,8,Washington,DC,20001,38.90929,-77.02101,2,1,0,1,$85.00 ,,$50.00 ,1,365,3,Private room
100%,N/A,8,Washington,DC,20001,38.9091,-77.02095,2,1,1,0,$85.00 ,,$50.00 ,1,1125,40,Private room
100%,N/A,8,Washington,DC,20001,38.90892,-77.02092,2,1,1,0,$90.00 ,,$50.00 ,2,1125,35,Private room
100%,N/A,2,Washington,DC,20005,38.90575,-77.02737,3,1,1,2,$170.00 ,$100.00 ,$90.00 ,2,31,90,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.91668,-77.02361,2,1,1,1,$120.00 ,,,120,1125,1,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.91796,-77.07241,4,1,1,2,$99.00 ,$0.00 ,$50.00 ,2,30,68,Entire home/apt
100%,N/A,8,Washington,DC,20001,38.91044,-77.0206,2,1,1,1,$90.00 ,,$50.00 ,2,1125,39,Private room
100%,N/A,8,Washington,DC,20001,38.90942,-77.02003,2,1,1,0,$90.00 ,,$50.00 ,2,1125,35,Private room
100%,N/A,8,Washington,DC,20001,38.91035,-77.01954,2,1,1,0,$90.00 ,,$50.00 ,2,365,33,Private room
N/A,N/A,4,Washington,DC,20007,38.91126,-77.06841,6,1,2,3,$220.00 ,,$19.00 ,1,1125,7,Entire home/apt
N/A,N/A,4,Washington,DC,20007,38.91218,-77.06787,2,1,1,1,$85.00 ,,$19.00 ,1,1125,16,Private room
N/A,N/A,4,Washington,DC,20007,38.91132,-77.06927,2,1,1,1,$75.00 ,,$19.00 ,1,1125,13,Private room
100%,N/A,1,Washington,DC,20010,38.93181,-77.03392,2,1,1,1,$56.00 ,,,2,1125,51,Entire home/apt
100%,N/A,13,Washington,DC,20003,38.88539,-77.00004,1,1,1,1,$95.00 ,$100.00 ,$75.00 ,3,10,49,Private room
100%,N/A,2,Washington,DC,20002,38.89164,-76.99642,8,2,2,2,$232.00 ,$500.00 ,$150.00 ,3,1125,34,Entire home/apt
100%,N/A,13,Washington,DC,20003,38.88611,-77.00138,2,1,1,1,$82.00 ,$100.00 ,$75.00 ,3,10,55,Private room
100%,N/A,11,Washington,DC,20002,38.89976,-77.00055,10,4.5,6,8,$379.00 ,$500.00 ,$350.00 ,1,1125,4,Entire home/apt
N/A,N/A,1,Washington,DC,20016,38.94965,-77.09643,4,3,2,2,$250.00 ,$0.00 ,$96.00 ,1,4,29,Entire home/apt
100%,N/A,4,Washington,DC,20037,38.90287,-77.04952,10,2,4,4,$675.00 ,"$1,000.00 ",$200.00 ,2,30,22,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91642,-77.01668,6,1,2,4,$115.00 ,$200.00 ,$75.00 ,2,1125,5,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93264,-77.02435,3,1,1,1,$89.00 ,$0.00 ,$25.00 ,1,1125,7,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.90308,-77.01589,2,1,1,1,$71.00 ,,$20.00 ,1,3,12,Private room
100%,N/A,1817,Washington,DC,,38.91335,-77.04301,2,2,1,1,$183.00 ,$500.00 ,$350.00 ,30,1125,0,Entire home/apt
100%,N/A,1817,Washington,DC,,38.9107,-77.0305,6,3,3,3,$177.00 ,$500.00 ,$520.00 ,30,1125,2,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.87383,-77.00201,2,2,1,1,$185.00 ,$225.00 ,$50.00 ,1,7,24,Hotel room
97%,N/A,1050,Washington,DC,DC 20004,38.89643,-77.02321,2,1,1,1,$151.00 ,,$125.00 ,30,120,1,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88789,-76.97909,10,3.5,5,8,$500.00 ,"$1,000.00 ",$200.00 ,3,20,17,Entire home/apt
100%,N/A,4,Washington,DC,20010,38.93577,-77.03201,2,1,1,1,$49.00 ,$100.00 ,,1,1125,60,Private room
100%,N/A,1817,Washington,DC,,38.91602,-77.03792,4,2,2,2,$134.00 ,$500.00 ,$410.00 ,30,1125,2,Entire home/apt
98%,N/A,5,Washington,DC,20009,38.9226,-77.02815,10,3,3,4,$245.00 ,$199.00 ,$120.00 ,1,1125,97,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.89983,-77.00116,2,1,1,1,$300.00 ,,$100.00 ,2,1125,0,Private room
97%,N/A,54,Washington,DC,20007,38.91289,-77.08871,6,2.5,3,4,$230.00 ,$500.00 ,$185.00 ,30,395,6,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.90487,-76.99087,5,1,1,3,$104.00 ,,,2,90,104,Entire home/apt
100%,N/A,1817,Washington,DC,,38.91506,-77.02841,6,2.5,3,3,$164.00 ,$500.00 ,$495.00 ,30,1125,1,Entire home/apt
97%,N/A,7,Washington,DC,20003,38.88731,-76.98108,3,1.5,1,2,$69.00 ,$100.00 ,$30.00 ,1,7,64,Private room
100%,N/A,1,Washington,DC,20002,38.89562,-76.99386,4,1,1,2,$121.00 ,$0.00 ,$75.00 ,2,14,28,Entire home/apt
100%,N/A,8,Washington,DC,20009,38.91334,-77.04536,5,1,2,2,$155.00 ,$0.00 ,$105.00 ,4,1125,27,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91804,-77.04246,2,1,1,1,$90.00 ,$100.00 ,$30.00 ,1,90,50,Private room
100%,N/A,4,Washington,DC,20003,38.87899,-76.98505,4,1,2,4,$87.00 ,,$55.00 ,14,1125,2,Entire home/apt
100%,N/A,16,Washington,DC,20002,38.90472,-76.98662,1,1,1,1,$36.00 ,$100.00 ,$15.00 ,2,180,15,Shared room
100%,N/A,16,Washington,DC,20002,38.9068,-76.9853,1,1,1,1,$36.00 ,$100.00 ,$15.00 ,2,180,13,Shared room
100%,N/A,16,Washington,DC,20002,38.90675,-76.985,1,1,1,1,$36.00 ,$100.00 ,$15.00 ,2,180,8,Shared room
N/A,N/A,1,Washington,DC,20019,38.8965,-76.94773,2,1,1,1,$36.00 ,,,2,1125,2,Private room
100%,N/A,2,Washington,DC,20020,38.8688,-76.9428,1,1,0,1,$50.00 ,$0.00 ,$45.00 ,2,365,4,Private room
N/A,N/A,1,Washington,DC,20002,38.90203,-77.00099,3,1,1,2,$100.00 ,$0.00 ,$75.00 ,1,1125,7,Entire home/apt
100%,N/A,5,Washington,DC,20037,38.90382,-77.05368,3,1,1,1,$109.00 ,$100.00 ,$40.00 ,1,31,15,Entire home/apt
100%,N/A,15,Washington,DC,20009,38.92033,-77.0322,2,1,0,1,$159.00 ,$250.00 ,$100.00 ,3,1125,4,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93019,-77.02278,1,1,1,1,$36.00 ,,,14,27,0,Private room
100%,N/A,1,Washington,DC,20002,38.89889,-77.00104,2,1,1,1,$80.00 ,,,2,1125,62,Private room
100%,N/A,15,Washington,DC,20009,38.92125,-77.03045,2,1,1,1,$199.00 ,$250.00 ,$100.00 ,3,1125,1,Entire home/apt
N/A,N/A,1,Washington,DC,20032,38.84664,-77.00039,4,1,1,2,$70.00 ,$0.00 ,$65.00 ,2,1125,26,Entire home/apt
100%,N/A,15,Washington,DC,20037,38.90729,-77.04994,3,1,2,1,$216.00 ,$250.00 ,$100.00 ,3,1125,4,Entire home/apt
100%,N/A,2,Washington,DC,20005,38.90637,-77.02877,6,1.5,3,3,$295.00 ,$250.00 ,$130.00 ,2,120,64,Entire home/apt
97%,N/A,1050,Washington,DC,20005,38.90625,-77.03064,2,1,1,1,$207.00 ,,$125.00 ,30,120,0,Entire home/apt
100%,N/A,1817,Washington,DC,,38.92061,-77.03385,4,1.5,2,2,$128.00 ,$500.00 ,$385.00 ,30,1125,1,Entire home/apt
100%,N/A,1817,Washington,DC,,38.9065,-77.02962,6,2.5,3,3,$189.00 ,$500.00 ,$495.00 ,30,1125,0,Entire home/apt
100%,N/A,1817,Washington,DC,,38.88344,-76.99233,4,1,2,2,$93.00 ,$500.00 ,$360.00 ,30,1125,2,Entire home/apt
100%,N/A,1817,Washington,DC,,38.88349,-76.99137,4,1,1,1,$87.00 ,$500.00 ,$300.00 ,30,1125,3,Entire home/apt
100%,N/A,5,Washington,DC,20010,38.93201,-77.01915,10,3.5,3,3,$215.00 ,$100.00 ,$80.00 ,2,30,33,Entire home/apt
100%,N/A,5,Washington,DC,20002,38.89963,-77.00037,6,2,3,5,$250.00 ,$500.00 ,$130.00 ,3,1125,3,Entire home/apt
N/A,N/A,2,Washington,DC,20011,38.93801,-77.02571,2,1,1,1,$100.00 ,,,28,1125,0,Entire home/apt
97%,N/A,71,Washington,DC,20001,38.91249,-77.01966,10,2.5,2,3,$249.00 ,$300.00 ,$175.00 ,3,89,20,Entire home/apt
100%,N/A,3,Washington,DC,20009,38.92134,-77.03052,4,1,1,1,$150.00 ,$250.00 ,$68.00 ,2,30,52,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92326,-77.04314,8,2,3,3,$349.00 ,"$3,000.00 ",$150.00 ,5,180,0,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89653,-76.98681,4,1,1,1,$65.00 ,$0.00 ,$35.00 ,2,30,84,Entire home/apt
100%,N/A,3,Washington,DC,20001,38.90564,-77.01751,2,1,1,1,$159.00 ,$500.00 ,$50.00 ,3,120,35,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.90683,-77.0179,5,2,2,2,$135.00 ,,$75.00 ,2,200,73,Entire home/apt
100%,N/A,1,Washington,DC,20032,38.83943,-76.99105,1,1,1,1,$49.00 ,,$5.00 ,1,1125,80,Private room
100%,N/A,7,Washington,DC,20010,38.93201,-77.04014,8,2.5,3,3,$320.00 ,$300.00 ,$150.00 ,2,1125,9,Entire home/apt
75%,N/A,1,Washington,DC,20007,38.90887,-77.08662,1,1,1,1,$80.00 ,$0.00 ,$100.00 ,2,1125,5,Private room
97%,N/A,3,Washington,DC,20002,38.89122,-76.98976,4,1,1,4,$87.00 ,$100.00 ,$75.00 ,2,15,76,Entire home/apt
N/A,N/A,1,Washington,DC,20032,38.84295,-76.98979,3,1,1,2,$60.00 ,$200.00 ,$10.00 ,3,90,54,Entire home/apt
N/A,N/A,2,Washington,DC,20019,38.88768,-76.9352,2,1,1,1,$50.00 ,,,1,7,16,Private room
100%,N/A,1,Washington,DC,20018,38.92956,-76.97904,6,1,1,1,$80.00 ,$0.00 ,$65.00 ,1,1125,38,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91432,-77.03747,2,1,1,0,$175.00 ,,,1,1125,1,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88827,-76.97857,10,2,3,5,$130.00 ,$250.00 ,$150.00 ,3,1125,33,Entire home/apt
91%,N/A,2,Washington,DC,20001,38.91215,-77.01241,2,1,1,1,$95.00 ,$0.00 ,$65.00 ,2,1125,73,Entire home/apt
100%,N/A,2,Washington,DC,20011,38.93827,-77.032,6,1,2,3,$120.00 ,$300.00 ,$100.00 ,1,30,36,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.90474,-77.01914,2,1,1,1,$250.00 ,,,3,10,0,Private room
80%,N/A,3,Washington,DC,20020,38.84529,-76.97141,4,1,1,1,$75.00 ,$150.00 ,$25.00 ,1,3,16,Private room
100%,N/A,1,Washington,DC,20003,38.88458,-76.97742,4,1,1,2,$80.00 ,$0.00 ,$20.00 ,2,29,76,Entire home/apt
N/A,N/A,1,Washington,DC,20007,38.9153,-77.07348,1,1,1,1,$59.00 ,,,30,180,4,Private room
97%,N/A,71,Washington,DC,20001,38.91339,-77.02011,6,2.5,2,3,$299.00 ,$500.00 ,$175.00 ,3,89,29,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.92595,-77.00878,4,1,1,2,$300.00 ,$0.00 ,$59.00 ,2,1125,44,Entire home/apt
96%,N/A,5,Washington,DC,20002,38.8961,-76.97736,4,1,1,1,$91.00 ,,$100.00 ,2,1125,39,Entire home/apt
N/A,N/A,1,Washington,DC,20005,38.90751,-77.02956,2,1,1,1,$72.00 ,$0.00 ,$35.00 ,3,8,5,Entire home/apt
100%,N/A,1,Washington,DC,20036,38.90724,-77.04581,4,1,1,1,$225.00 ,,$30.00 ,2,1125,5,Entire home/apt
100%,N/A,2,Washington,DC,20032,38.82333,-77.00702,4,1,1,1,$100.00 ,$250.00 ,$68.00 ,2,150,13,Entire home/apt
90%,N/A,1,Washington,DC,20002,38.89684,-76.99053,2,1,1,1,$75.00 ,$500.00 ,$50.00 ,2,60,62,Entire home/apt
100%,N/A,1817,Washington,DC,,38.93884,-77.01677,6,2,3,3,$156.00 ,$500.00 ,$470.00 ,30,1125,0,Entire home/apt
100%,N/A,5,Washington,DC,20001,38.92193,-77.02528,14,3.5,4,6,$399.00 ,$0.00 ,$200.00 ,1,1125,49,Entire home/apt
100%,N/A,4,Washington,DC,20011,38.95786,-77.02324,4,1,2,2,$72.00 ,$175.00 ,$70.00 ,4,120,0,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91842,-77.03641,2,1,0,1,$90.00 ,$0.00 ,$25.00 ,7,28,0,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.94923,-77.03169,2,1,1,1,$55.00 ,$100.00 ,$150.00 ,5,75,4,Entire home/apt
100%,N/A,1,Washington,DC,20024,38.87968,-77.02309,2,1,1,1,$150.00 ,$0.00 ,$35.00 ,2,1125,11,Entire home/apt
80%,N/A,2,Washington,DC,20002,38.90141,-76.999,8,1.5,2,2,$97.00 ,$100.00 ,$40.00 ,1,29,63,Private room
100%,N/A,4,Washington,DC,20001,38.8968,-77.01125,4,1,0,2,$127.00 ,$0.00 ,$80.00 ,1,1125,84,Entire home/apt
N/A,N/A,2,Washington,DC,20008,38.92864,-77.0534,1,1.5,1,1,$43.00 ,,,5,24,1,Private room
98%,N/A,59,Washington,DC,20006,38.8975,-77.04471,2,1,1,1,$127.00 ,$0.00 ,$65.00 ,1,1125,96,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.92418,-77.00218,2,1,2,1,$50.00 ,$250.00 ,$35.00 ,2,31,25,Private room
100%,N/A,3,Washington,DC,20018,38.92338,-76.97482,2,2,1,1,$35.00 ,$200.00 ,$50.00 ,14,365,1,Private room
100%,N/A,1,Washington,DC,,38.89279,-76.98205,4,1,1,2,$115.00 ,,,3,1125,34,Entire home/apt
100%,N/A,1,Washington,DC,20020,38.87425,-76.95747,3,1,1,1,$80.00 ,$0.00 ,$25.00 ,2,5,20,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.95671,-77.02239,3,1,1,1,$40.00 ,$100.00 ,$40.00 ,2,14,5,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.89953,-76.99835,2,1,0,1,$80.00 ,$0.00 ,$50.00 ,1,1125,12,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92478,-77.03784,4,1,1,1,$125.00 ,$250.00 ,$35.00 ,5,1125,3,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89551,-76.99075,2,1,0,1,$95.00 ,$100.00 ,$70.00 ,2,29,62,Entire home/apt
100%,N/A,5,Washington,DC,20008,38.92637,-77.05111,2,1,1,2,$149.00 ,$0.00 ,$65.00 ,3,1124,32,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.91656,-77.04029,2,1,1,1,$90.00 ,,$25.00 ,2,1125,16,Private room
100%,N/A,1,Washington,DC,20003,38.88294,-76.99247,4,1,1,1,$95.00 ,$125.00 ,$70.00 ,3,30,76,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88112,-76.99974,4,1,1,1,$100.00 ,$0.00 ,$50.00 ,3,1125,15,Entire home/apt
100%,N/A,2,Washington,DC,20018,38.92455,-76.96492,4,1,2,2,$99.00 ,$500.00 ,$59.00 ,2,7,33,Entire home/apt
100%,N/A,1,Washington,DC,20016,38.94565,-77.0899,4,1,1,4,$125.00 ,,,3,1125,25,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.90014,-77.01703,2,1,1,1,$250.00 ,$0.00 ,$90.00 ,1,1125,16,Entire home/apt
100%,N/A,3,Washington,DC,20012,38.97303,-77.02469,4,1.5,0,1,$45.00 ,$200.00 ,$90.00 ,3,7,47,Entire home/apt
100%,N/A,1,Washington,DC,20012,38.97139,-77.01506,2,1,1,1,$48.00 ,$0.00 ,$25.00 ,2,1125,30,Entire home/apt
98%,N/A,7,Washington,DC,20002,38.91158,-77.00425,10,3,3,4,$399.00 ,$500.00 ,$250.00 ,1,1125,14,Entire home/apt
93%,N/A,2,Washington,DC,20024,38.87866,-77.02422,4,1,1,1,$225.00 ,,$35.00 ,1,1125,51,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91056,-77.02677,3,1,1,1,$125.00 ,,,2,1125,6,Entire home/apt
100%,N/A,3,Washington,DC,20012,38.97424,-77.01842,6,1,2,3,$100.00 ,$200.00 ,$135.00 ,3,7,24,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.90865,-77.00137,2,1,1,1,$60.00 ,,$10.00 ,1,1124,20,Private room
100%,N/A,2,Washington,DC,,38.90634,-77.02081,2,1,1,2,$99.00 ,,,1,29,52,Private room
N/A,N/A,2,Washington,DC,20019,38.88803,-76.93541,1,1,1,1,$36.00 ,,,1,4,0,Private room
100%,N/A,1,Washington,DC,20010,38.93533,-77.03841,2,1,1,1,$89.00 ,$0.00 ,$15.00 ,2,30,16,Private room
100%,N/A,1,Washington,DC,20011,38.94057,-77.01792,3,1,0,2,$45.00 ,"$1,500.00 ",$40.00 ,2,1125,21,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.92885,-77.02997,6,2,2,3,$125.00 ,$0.00 ,$90.00 ,1,1125,66,Entire home/apt
100%,N/A,1,Washington,DC,20020,38.84761,-76.98323,6,1,3,4,$58.00 ,,$0.00 ,1,1125,102,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88845,-76.98313,4,1,1,2,$104.00 ,$0.00 ,$64.00 ,1,365,70,Entire home/apt
100%,N/A,3,Washington,DC,20011,38.96631,-77.0325,1,1,1,1,$26.00 ,$175.00 ,$45.00 ,5,160,11,Private room
N/A,N/A,3,Washington,DC,20019,38.89306,-76.95272,8,1,2,4,$150.00 ,,$65.00 ,1,1125,1,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.90205,-76.99406,4,1,2,3,$149.00 ,$0.00 ,$100.00 ,1,365,57,Entire home/apt
97%,N/A,7,Washington,DC,20003,38.88693,-76.98022,3,1.5,1,2,$64.00 ,$100.00 ,$30.00 ,1,7,59,Private room
100%,N/A,1,Washington,DC,20011,38.94984,-77.01907,4,1,1,2,$50.00 ,,,2,1125,66,Entire home/apt
98%,N/A,54,Washington,DC,20037,38.90362,-77.04939,4,1,1,1,$125.00 ,$0.00 ,$150.00 ,3,1125,17,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92105,-77.04281,3,1,1,1,$93.00 ,$0.00 ,$50.00 ,5,1125,5,Entire home/apt
